ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Type=\"Number\" DisplayName=\"External ID\" Name=\"field_1\" ID=\"{6573dd5f-4226-40c9-a98a-4b2732f6380f}\" StaticName=\"field_1\" />","<Field Type=\"Number\" DisplayName=\"Internal ID\" Name=\"field_2\" ID=\"{69bdc350-3b50-49ba-95e5-1fc1087dda49}\" StaticName=\"field_2\" />","<Field ID=\"{acaa489b-04f0-42b1-a4ca-6864375a5c52}\" DisplayName=\"Subsidiary\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Note\" />","<Field Type=\"Text\" DisplayName=\"Inactive\" Name=\"field_4\" ID=\"{3a077a9b-2d43-4f05-a581-30037fddf5fe}\" StaticName=\"field_4\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Name\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Name","External ID","Internal ID","Subsidiary","Inactive"
"Boarding House","0","209","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Daycarer","0","208","R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Kids Ampang","No"
"Education Fair","0","242","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - Camp Activities","0","248","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - Charity Run/Fun Run","0","243","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - Children's Day","0","236","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, XCL British Education Sdn Bhd, More...","No"
"Event - Festive Celebrations","0","220","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - Graduation/Concert","0","230","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - Merdeka/National Day","0","235","Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, GEMS Education Malaysia Sdn. Bhd., Metropark Property Sdn Bhd, Paramount Education, Prestigion Education II, Pusat Barhasa CEFL, R.E.A.L Education Corp, R.E.A.L Education Group, R.E.A.L Education International, R.E.A.L Kids Ampang, Sri KDU, Sri KDU Klang, Sri KDU Subang Jaya Sdn Bhd, More...","No"
"Event - MSSD/MSSS","0","26","Arcadia PH Co. Ltd (Thailand), Arcadia Property Pte Ltd (Singapore), Arcadia SH Co. Ltd (Thailand), ASB Property Co. Ltd, ASB School, ASBG Company (Thailand), ASDP Company Pte Ltd (Singapore), Cambridge Children's House, Cambridge Education for Life, Cambridge English For Life, DPMG Company Ltd (Thailand), DPREP School, Edupath Group Holdings, GEMS Education Malaysia Sdn. Bhd., More...","No"
